SEND,geo_mode,geo_cmd_deg,lin_cm,ang_deg,geo_deg
RECV,geo_mode,omega_l,omega_r,geo_deg
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, POS, 180.00, 0.00, 0.00
RECV, ERROR, UDP_LOST
SEND, STOP, 0.00, 0.0, 0.0
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
RECV, ERROR, UDP_LOST
SEND, BLOCKED, STOP_SAFETY
